Unnamed: 0,Action,Phase,DateCreated,UserId,ActionEnd,Duration,sessionId,ActionShort,REG_TYPE,LA,SELF0_PEER1
19,Compare scores for peers' work,PHASE #1 ALIGN,2025-08-11 05:15:00,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 06:01:42,46,6,RWER3,SSRL,1,P
20,View assessment discussion on peers' work,PHASE #1 ALIGN,2025-08-11 06:01:42,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 08:18:00,136,6,RWER4,SSRL,0,P
21,Compare scores for peers' work,PHASE #1 ALIGN,2025-08-11 08:18:00,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 11:29:12,191,6,RWER3,SSRL,1,P
22,Compare scores for peers' work,PHASE #1 ALIGN,2025-08-11 11:29:12,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 11:54:06,24,6,RWER3,SSRL,1,P
23,Visit Assess peer work page,PHASE #1 ALIGN,2025-08-11 11:54:06,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 12:03:00,8,6,RWER1,SSRL,0,P
24,Compare scores for peers' work,PHASE #1 ALIGN,2025-08-11 12:03:00,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 12:44:00,40,6,RWER3,SSRL,1,P
25,View assessment discussion on peers' work,PHASE #1 ALIGN,2025-08-11 12:44:00,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 16:33:36,229,6,RWER4,SSRL,0,P
26,Discuss assessment scores for PEERS work,PHASE #1 ALIGN,2025-08-11 16:33:36,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 17:35:24,61,6,RWER5,SSRL,0,P
27,Visit Assess peer work page,PHASE #1 ALIGN,2025-08-11 17:35:24,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 17:46:48,11,6,RWER1,SSRL,0,P
28,Compare scores for peers' work,PHASE #1 ALIGN,2025-08-11 17:46:48,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 17:58:18,11,6,RWER3,SSRL,1,P
29,View assessment discussion on peers' work,PHASE #1 ALIGN,2025-08-11 17:58:18,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 18:16:12,17,6,RWER4,SSRL,0,P
30,Make peer assessment,PHASE #1 ALIGN,2025-08-11 18:16:12,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 18:23:12,6,6,RWER2,SSRL,0,P
31,Visit Assess peer work page,PHASE #1 ALIGN,2025-08-11 18:23:12,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 18:32:48,9,6,RWER1,SSRL,0,P
32,Compare scores for peers' work,PHASE #1 ALIGN,2025-08-11 18:32:48,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 19:46:30,73,6,RWER3,SSRL,1,P
33,Visit Provide feedback page,PHASE #2 DISCUSS,2025-08-11 19:48:36,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 20:12:36,24,6,RWER8,Co-RL,0,P
34,Visit Assess peer work page,PHASE #1 ALIGN,2025-08-11 20:15:00,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 20:24:18,9,6,RWER1,SSRL,0,P
35,Create quick note,PHASE #1 ALIGN,2025-08-11 21:43:42,1209d174-efe1-4842-8308-1597d065628f,,582,6,RWER6,SSRL,0,P
36,Create quick note,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,12,6,RWER6,SSRL,0,P
37,Visit Assess peer work page,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,56,6,RWER1,SSRL,0,P
38,Compare scores for peers' work,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,24,6,RWER3,SSRL,1,P
39,Click to view Quick Notes in the Assess the Peer work page,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,26,6,RWER7,SSRL,0,P
40,Visit Assess peer work page,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,16,6,RWER1,SSRL,0,P
41,Click to view Quick Notes in the Assess the Peer work page,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,294,6,RWER7,SSRL,0,P
42,Visit Assess own work page,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,49,6,1.1 VISIT_SELF_ASSESS,SSRL,0,S
43,Visit Assess peer work page,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,513,6,RWER1,SSRL,0,P
44,Click to view Quick Notes in the Assess the Peer work page,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 01:12:12,163,6,RWER7,SSRL,0,P
45,Create quick note,PHASE #1 ALIGN,2025-08-11 01:54:54,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 03:17:54,83,6,RWER6,SSRL,0,P
46,Visit Assess peer work page,PHASE #1 ALIGN,2025-08-11 03:17:54,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 05:03:42,105,6,RWER1,SSRL,0,P
47,Make peer assessment,PHASE #1 ALIGN,2025-08-11 05:03:42,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 05:15:12,11,6,RWER2,SSRL,0,P
48,Visit Assess peer work page,PHASE #1 ALIGN,2025-08-11 05:15:12,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 05:30:42,15,6,RWER1,SSRL,0,P
49,Click to view Quick Notes in the Assess the Peer work page,PHASE #1 ALIGN,2025-08-11 05:30:42,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 07:22:00,111,6,RWER7,SSRL,0,P
50,Visit Assess peer work page,PHASE #1 ALIGN,2025-08-11 07:22:00,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 07:38:42,16,6,RWER1,SSRL,0,P
51,Create quick note,PHASE #1 ALIGN,2025-08-11 08:10:30,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 08:25:30,14,6,RWER6,SSRL,0,P
52,Visit Assess peer work page,PHASE #1 ALIGN,2025-08-11 08:25:30,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 09:14:24,48,6,RWER1,SSRL,0,P
53,Compare scores for peers' work,PHASE #1 ALIGN,2025-08-11 09:14:24,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 10:21:36,67,6,RWER3,SSRL,1,P
54,Click to view Quick Notes in the Assess the Peer work page,PHASE #1 ALIGN,2025-08-11 10:21:36,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 11:52:48,91,6,RWER7,SSRL,0,P
55,Create quick note,PHASE #1 ALIGN,2025-08-11 13:44:24,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 14:59:18,74,6,RWER6,SSRL,0,P
56,Visit Assess peer work page,PHASE #1 ALIGN,2025-08-11 14:59:18,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 15:10:00,10,6,RWER1,SSRL,0,P
57,Click to view Quick Notes in the Assess the Peer work page,PHASE #1 ALIGN,2025-08-11 15:10:00,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 15:18:48,8,6,RWER7,SSRL,0,P
58,Click to view Quick Notes in the Assess the Peer work page,PHASE #1 ALIGN,2025-08-11 15:18:48,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 15:55:18,36,6,RWER7,SSRL,0,P
59,Visit Assess peer work page,PHASE #1 ALIGN,2025-08-11 15:55:18,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 16:31:06,35,6,RWER1,SSRL,0,P
60,Click to view Quick Notes in the Assess the Peer work page,PHASE #1 ALIGN,2025-08-11 16:31:06,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 18:17:54,106,6,RWER7,SSRL,0,P
61,Click to view Quick Notes in the Assess the Peer work page,PHASE #1 ALIGN,2025-08-11 18:17:54,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 23:43:18,325,6,RWER7,SSRL,0,P
62,Create quick note,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,34,6,RWER6,SSRL,0,P
63,Make peer assessment,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,144,6,RWER2,SSRL,0,P
64,Compare scores for peers' work,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,6,6,RWER3,SSRL,1,P
65,Visit Assess peer work page,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,12,6,RWER1,SSRL,0,P
66,Compare scores for peers' work,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,43,6,RWER3,SSRL,1,P
67,Visit Assess peer work page,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,29,6,RWER1,SSRL,0,P
68,Compare scores for peers' work,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,35,6,RWER3,SSRL,1,P
69,Visit Assess peer work page,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,50,6,RWER1,SSRL,0,P
70,Visit Assess peer work page,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,11,6,RWER1,SSRL,0,P
71,Compare scores for peers' work,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,65,6,RWER3,SSRL,1,P
72,Visit Assess peer work page,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,15,6,RWER1,SSRL,0,P
73,Compare scores for peers' work,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,420,6,RWER3,SSRL,1,P
74,Create quick note,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,124,6,RWER6,SSRL,0,P
75,Create quick note,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,10,6,RWER6,SSRL,0,P
76,Make peer assessment,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,31,6,RWER2,SSRL,0,P
77,Compare scores for peers' work,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,6,6,RWER3,SSRL,1,P
78,Visit Assess peer work page,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,114,6,RWER1,SSRL,0,P
79,Make peer assessment,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,40,6,RWER2,SSRL,0,P
80,Visit Provide feedback page,PHASE #2 DISCUSS,,1209d174-efe1-4842-8308-1597d065628f,,368,6,RWER8,Co-RL,0,P
81,Visit Provide feedback page,PHASE #2 DISCUSS,,1209d174-efe1-4842-8308-1597d065628f,,5,6,RWER8,Co-RL,0,P
82,Click to view quick notes on Provide feedback page,PHASE #2 DISCUSS,,1209d174-efe1-4842-8308-1597d065628f,,138,6,RWER10,SSRL,1,P
83,Visit Provide feedback page,PHASE #2 DISCUSS,,1209d174-efe1-4842-8308-1597d065628f,,22,6,RWER8,Co-RL,0,P
84,Visit Provide feedback page,PHASE #2 DISCUSS,,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 01:40:54,284,6,RWER8,Co-RL,0,P
85,Visit Provide feedback page,PHASE #2 DISCUSS,2025-08-11 01:40:54,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 02:08:06,27,6,RWER8,Co-RL,0,P
86,Visit Provide feedback page,PHASE #2 DISCUSS,2025-08-11 02:08:06,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 03:18:06,69,6,RWER8,Co-RL,0,P
87,Visit Provide feedback page,PHASE #2 DISCUSS,2025-08-11 03:18:06,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 05:35:36,137,6,RWER8,Co-RL,0,P
88,Visit Provide feedback page,PHASE #2 DISCUSS,2025-08-11 05:38:36,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 05:58:12,19,6,RWER8,Co-RL,0,P
89,Visit Provide feedback page,PHASE #2 DISCUSS,2025-08-11 05:58:12,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 06:11:54,13,6,RWER8,Co-RL,0,P
90,Visit Provide feedback page,PHASE #2 DISCUSS,2025-08-11 06:14:30,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 06:47:12,32,6,RWER8,Co-RL,0,P
91,Visit Provide feedback page,PHASE #2 DISCUSS,2025-08-11 06:53:36,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 07:17:24,23,6,RWER8,Co-RL,0,P
92,Click to view quick notes on Provide feedback page,PHASE #2 DISCUSS,2025-08-11 07:17:24,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 09:16:42,119,6,RWER10,SSRL,1,P
93,Visit Provide feedback page,PHASE #2 DISCUSS,2025-08-11 09:16:42,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 11:37:12,140,6,RWER8,Co-RL,0,P
94,Visit Provide feedback page,PHASE #2 DISCUSS,2025-08-11 12:41:36,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 13:14:54,33,6,RWER8,Co-RL,0,P
95,Visit Provide feedback page,PHASE #2 DISCUSS,2025-08-11 13:59:24,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 14:41:30,42,6,RWER8,Co-RL,0,P
96,Visit Provide feedback page,PHASE #2 DISCUSS,2025-08-11 14:54:00,1209d174-efe1-4842-8308-1597d065628f,,8503,6,RWER8,Co-RL,0,P
97,Visit Provide feedback page,PHASE #2 DISCUSS,,1209d174-efe1-4842-8308-1597d065628f,,345,7,RWER8,Co-RL,0,P
98,Visit Provide feedback page,PHASE #2 DISCUSS,,1209d174-efe1-4842-8308-1597d065628f,,294,7,RWER8,Co-RL,0,P
99,Visit Provide feedback page,PHASE #2 DISCUSS,,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 01:19:48,458,7,RWER8,Co-RL,0,P
100,Click to view quick notes on Provide feedback page,PHASE #2 DISCUSS,2025-08-11 01:19:48,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 04:20:48,181,7,RWER10,SSRL,1,P
101,Visit Check the feedback page,PHASE #2 DISCUSS,2025-08-11 05:43:54,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 05:50:30,6,7,2.1 VISIT_FEEDBACK,SRL,0,S
102,Visit Revise the work page,PHASE #3 ACT,2025-08-11 05:56:12,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 05:59:00,2,7,3.1 VISIT_REVISION,SRL,0,S
103,Visit Assess peer work page,PHASE #1 ALIGN,2025-08-11 06:17:12,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 06:42:36,25,7,RWER1,SSRL,0,P
104,Visit Provide feedback page,PHASE #2 DISCUSS,,1209d174-efe1-4842-8308-1597d065628f,,323,8,RWER8,Co-RL,0,P
105,Click to view quick notes on Provide feedback page,PHASE #2 DISCUSS,,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 00:31:54,621,8,RWER10,SSRL,1,P
106,Visit Provide feedback page,PHASE #2 DISCUSS,2025-08-11 00:31:54,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 07:15:06,403,8,RWER8,Co-RL,0,P
107,Post feedback,PHASE #2 DISCUSS,2025-08-11 07:15:06,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 19:23:48,728,8,RWER9,Co-RL,0,P
108,Post feedback,PHASE #2 DISCUSS,2025-08-11 19:23:48,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 21:59:30,155,8,RWER9,Co-RL,0,P
109,Post feedback,PHASE #2 DISCUSS,2025-08-11 21:59:30,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 23:17:48,78,8,RWER9,Co-RL,0,P
110,Post feedback,PHASE #2 DISCUSS,2025-08-11 23:17:48,1209d174-efe1-4842-8308-1597d065628f,,194,8,RWER9,Co-RL,0,P
111,Post feedback,PHASE #2 DISCUSS,,1209d174-efe1-4842-8308-1597d065628f,,198,8,RWER9,Co-RL,0,P
112,Post feedback,PHASE #2 DISCUSS,,1209d174-efe1-4842-8308-1597d065628f,,144,8,RWER9,Co-RL,0,P
113,Visit Provide feedback page,PHASE #2 DISCUSS,,1209d174-efe1-4842-8308-1597d065628f,,73,8,RWER8,Co-RL,0,P
114,Post feedback,PHASE #2 DISCUSS,,1209d174-efe1-4842-8308-1597d065628f,,305,8,RWER9,Co-RL,0,P
115,Post feedback,PHASE #2 DISCUSS,,1209d174-efe1-4842-8308-1597d065628f,,232,8,RWER9,Co-RL,0,P
116,Post feedback,PHASE #2 DISCUSS,,1209d174-efe1-4842-8308-1597d065628f,,234447,8,RWER9,Co-RL,0,P
117,Post reply to feedback,PHASE #2 DISCUSS,,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 04:15:48,849,9,2.2 POST_REPLY,Co-RL,0,S
118,Visit Guide peer page,PHASE #3 ACT,2025-08-11 04:32:06,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 04:35:42,3,9,RWER15,Co-RL,1,P
119,Visit Provide feedback page,PHASE #2 DISCUSS,2025-08-11 04:39:12,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 04:43:12,4,9,RWER8,Co-RL,0,P
120,Visit Assess peer work page,PHASE #1 ALIGN,2025-08-11 04:52:24,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 05:14:42,22,9,RWER1,SSRL,0,P
121,Visit Assess peer work page,PHASE #1 ALIGN,2025-08-11 05:17:36,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 05:20:42,3,9,RWER1,SSRL,0,P
122,Visit Provide feedback page,PHASE #2 DISCUSS,2025-08-11 05:32:18,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 05:40:00,7,9,RWER8,Co-RL,0,P
123,Visit Provide feedback page,PHASE #2 DISCUSS,2025-08-11 06:23:18,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 06:26:06,2,9,RWER8,Co-RL,0,P
124,Visit Revise the work page,PHASE #3 ACT,2025-08-11 06:59:30,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 07:22:18,22,9,3.1 VISIT_REVISION,SRL,0,S
125,Visit Check the feedback page,PHASE #2 DISCUSS,2025-08-11 07:29:30,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 10:19:18,169,9,2.1 VISIT_FEEDBACK,SRL,0,S
126,Visit Check the feedback page,PHASE #2 DISCUSS,2025-08-11 10:23:54,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 11:26:30,62,9,2.1 VISIT_FEEDBACK,SRL,0,S
127,Visit Check the feedback page,PHASE #2 DISCUSS,2025-08-11 11:29:00,1209d174-efe1-4842-8308-1597d065628f,,909,9,2.1 VISIT_FEEDBACK,SRL,0,S
128,Visit Assess peer work page,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,13,10,RWER1,SSRL,0,P
129,Visit Assess own work page,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,30,10,1.1 VISIT_SELF_ASSESS,SSRL,0,S
130,Visit Check the feedback page,PHASE #2 DISCUSS,,1209d174-efe1-4842-8308-1597d065628f,,293,10,2.1 VISIT_FEEDBACK,SRL,0,S
131,Post reply to feedback,PHASE #2 DISCUSS,,1209d174-efe1-4842-8308-1597d065628f,,306,10,2.2 POST_REPLY,Co-RL,0,S
132,Visit Check the feedback page,PHASE #2 DISCUSS,,1209d174-efe1-4842-8308-1597d065628f,,48,10,2.1 VISIT_FEEDBACK,SRL,0,S
133,Post reply to feedback,PHASE #2 DISCUSS,,1209d174-efe1-4842-8308-1597d065628f,,32,10,2.2 POST_REPLY,Co-RL,0,S
134,Visit Provide feedback page,PHASE #2 DISCUSS,,1209d174-efe1-4842-8308-1597d065628f,,2,10,RWER8,Co-RL,0,P
135,Visit Check the feedback page,PHASE #2 DISCUSS,,1209d174-efe1-4842-8308-1597d065628f,,31,12,2.1 VISIT_FEEDBACK,SRL,0,S
136,Visit Guide peer page,PHASE #3 ACT,,1209d174-efe1-4842-8308-1597d065628f,,8,12,RWER15,Co-RL,1,P
137,Visit Check the feedback page,PHASE #2 DISCUSS,,1209d174-efe1-4842-8308-1597d065628f,,92,12,2.1 VISIT_FEEDBACK,SRL,0,S
138,Visit Check the feedback page,PHASE #2 DISCUSS,2025-08-11 00:54:54,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 01:21:54,26,12,2.1 VISIT_FEEDBACK,SRL,0,S
139,Visit Check the feedback page,PHASE #2 DISCUSS,2025-08-11 01:21:54,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 14:59:48,817,12,2.1 VISIT_FEEDBACK,SRL,0,S
140,Visit Check the feedback page,PHASE #2 DISCUSS,2025-08-11 15:14:00,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 15:25:00,10,12,2.1 VISIT_FEEDBACK,SRL,0,S
141,Visit Assess own work page,PHASE #1 ALIGN,2025-08-11 15:28:24,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 15:48:24,20,12,1.1 VISIT_SELF_ASSESS,SSRL,0,S
142,Visit Check the feedback page,PHASE #2 DISCUSS,2025-08-11 15:51:00,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 15:57:24,6,12,2.1 VISIT_FEEDBACK,SRL,0,S
143,Visit Assess own work page,PHASE #1 ALIGN,2025-08-11 16:04:24,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 17:55:48,111,12,1.1 VISIT_SELF_ASSESS,SSRL,0,S
144,Visit Assess peer work page,PHASE #1 ALIGN,2025-08-11 18:06:30,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 20:10:30,124,12,RWER1,SSRL,0,P
145,Make peer assessment,PHASE #1 ALIGN,2025-08-11 20:10:30,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 20:17:48,7,12,RWER2,SSRL,0,P
146,Make peer assessment,PHASE #1 ALIGN,2025-08-11 20:17:48,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 20:22:24,4,12,RWER2,SSRL,0,P
147,Make peer assessment,PHASE #1 ALIGN,2025-08-11 20:22:24,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 21:15:48,53,12,RWER2,SSRL,0,P
148,Compare scores for peers' work,PHASE #1 ALIGN,2025-08-11 21:15:48,1209d174-efe1-4842-8308-1597d065628f,,297,12,RWER3,SSRL,1,P
149,Visit Assess peer work page,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,18,12,RWER1,SSRL,0,P
150,Visit Assess own work page,PHASE #1 ALIGN,2025-08-11 01:32:06,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 02:22:12,50,13,1.1 VISIT_SELF_ASSESS,SSRL,0,S
151,Make self-assessment,PHASE #1 ALIGN,2025-08-11 02:22:12,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 02:27:36,5,13,1.2 MAKE_SELF_ASSESS,SSRL,0,S
152,Compare scores for own work,PHASE #1 ALIGN,2025-08-11 02:27:36,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 03:02:36,35,13,1.3 COMPARE_SCORES,SSRL,1,S
153,Make self-assessment,PHASE #1 ALIGN,2025-08-11 03:02:36,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 03:26:30,23,13,1.2 MAKE_SELF_ASSESS,SSRL,0,S
154,Make self-assessment,PHASE #1 ALIGN,2025-08-11 03:26:30,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 03:41:36,15,13,1.2 MAKE_SELF_ASSESS,SSRL,0,S
155,Compare scores for own work,PHASE #1 ALIGN,2025-08-11 03:41:36,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 04:17:48,36,13,1.3 COMPARE_SCORES,SSRL,1,S
156,Make self-assessment,PHASE #1 ALIGN,2025-08-11 04:17:48,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 04:22:06,4,13,1.2 MAKE_SELF_ASSESS,SSRL,0,S
157,Compare scores for own work,PHASE #1 ALIGN,2025-08-11 04:22:06,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 04:53:30,31,13,1.3 COMPARE_SCORES,SSRL,1,S
158,Make self-assessment,PHASE #1 ALIGN,2025-08-11 04:53:30,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 04:58:00,4,13,1.2 MAKE_SELF_ASSESS,SSRL,0,S
159,Compare scores for own work,PHASE #1 ALIGN,2025-08-11 04:58:00,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 05:34:48,36,13,1.3 COMPARE_SCORES,SSRL,1,S
160,View assessment discussion on own work,PHASE #1 ALIGN,2025-08-11 05:34:48,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 05:47:54,13,13,1.4 VEW_DISCUSSION,SSRL,0,S
161,Visit Check the feedback page,PHASE #2 DISCUSS,2025-08-11 06:06:42,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 06:25:12,18,13,2.1 VISIT_FEEDBACK,SRL,0,S
