,Action,Phase,DateCreated,UserId,ActionEnd,Duration,sessionId,ActionShort,REG_TYPE,LA,SELF0_PEER1
12,Visit Assess own work page,PHASE #1 ALIGN,40:36.9,1209d174-efe1-4842-8308-1597d065628f,41:06.0,29,4,1.1 VISIT_SELF_ASSESS,SSRL,0,S
13,Visit Assess peer work page,PHASE #1 ALIGN,41:34.0,1209d174-efe1-4842-8308-1597d065628f,51:21.9,587,4,RWER1,SSRL,0,P
14,Visit Assess peer work page,PHASE #1 ALIGN,52:00.2,1209d174-efe1-4842-8308-1597d065628f,13:53.5,1313,4,RWER1,SSRL,0,P
15,Visit Assess peer work page,PHASE #1 ALIGN,14:22.9,1209d174-efe1-4842-8308-1597d065628f,15:33.5,70,5,RWER1,SSRL,0,P
16,Visit Assess peer work page,PHASE #1 ALIGN,57:51.9,1209d174-efe1-4842-8308-1597d065628f,02:51.1,299,6,RWER1,SSRL,0,P
17,Make peer assessment,PHASE #1 ALIGN,02:51.1,1209d174-efe1-4842-8308-1597d065628f,03:15.8,24,6,RWER2,SSRL,0,P
18,Compare scores for peers' work,PHASE #1 ALIGN,03:15.8,1209d174-efe1-4842-8308-1597d065628f,05:15.0,119,6,RWER3,SSRL,1,P
19,Compare scores for peers' work,PHASE #1 ALIGN,05:15.0,1209d174-efe1-4842-8308-1597d065628f,06:01.7,46,6,RWER3,SSRL,1,P
20,View assessment discussion on peers' work,PHASE #1 ALIGN,06:01.7,1209d174-efe1-4842-8308-1597d065628f,08:18.0,136,6,RWER4,SSRL,0,P
21,Compare scores for peers' work,PHASE #1 ALIGN,08:18.0,1209d174-efe1-4842-8308-1597d065628f,11:29.2,191,6,RWER3,SSRL,1,P
22,Compare scores for peers' work,PHASE #1 ALIGN,11:29.2,1209d174-efe1-4842-8308-1597d065628f,11:54.1,24,6,RWER3,SSRL,1,P
23,Visit Assess peer work page,PHASE #1 ALIGN,11:54.1,1209d174-efe1-4842-8308-1597d065628f,12:03.0,8,6,RWER1,SSRL,0,P
24,Compare scores for peers' work,PHASE #1 ALIGN,12:03.0,1209d174-efe1-4842-8308-1597d065628f,12:44.0,40,6,RWER3,SSRL,1,P
25,View assessment discussion on peers' work,PHASE #1 ALIGN,12:44.0,1209d174-efe1-4842-8308-1597d065628f,16:33.6,229,6,RWER4,SSRL,0,P
26,Discuss assessment scores for PEERS work,PHASE #1 ALIGN,16:33.6,1209d174-efe1-4842-8308-1597d065628f,17:35.4,61,6,RWER5,SSRL,0,P
27,Visit Assess peer work page,PHASE #1 ALIGN,17:35.4,1209d174-efe1-4842-8308-1597d065628f,17:46.8,11,6,RWER1,SSRL,0,P
28,Compare scores for peers' work,PHASE #1 ALIGN,17:46.8,1209d174-efe1-4842-8308-1597d065628f,17:58.3,11,6,RWER3,SSRL,1,P
29,View assessment discussion on peers' work,PHASE #1 ALIGN,17:58.3,1209d174-efe1-4842-8308-1597d065628f,18:16.2,17,6,RWER4,SSRL,0,P
30,Make peer assessment,PHASE #1 ALIGN,18:16.2,1209d174-efe1-4842-8308-1597d065628f,18:23.2,6,6,RWER2,SSRL,0,P
31,Visit Assess peer work page,PHASE #1 ALIGN,18:23.2,1209d174-efe1-4842-8308-1597d065628f,18:32.8,9,6,RWER1,SSRL,0,P
32,Compare scores for peers' work,PHASE #1 ALIGN,18:32.8,1209d174-efe1-4842-8308-1597d065628f,19:46.5,73,6,RWER3,SSRL,1,P
33,Visit Provide feedback page,PHASE #2 DISCUSS,19:48.6,1209d174-efe1-4842-8308-1597d065628f,20:12.6,24,6,RWER8,Co-RL,0,P
34,Visit Assess peer work page,PHASE #1 ALIGN,20:15.0,1209d174-efe1-4842-8308-1597d065628f,20:24.3,9,6,RWER1,SSRL,0,P
35,Create quick note,PHASE #1 ALIGN,21:43.7,1209d174-efe1-4842-8308-1597d065628f,31:26.0,582,6,RWER6,SSRL,0,P
36,Create quick note,PHASE #1 ALIGN,41:46.5,1209d174-efe1-4842-8308-1597d065628f,41:58.7,12,6,RWER6,SSRL,0,P
37,Visit Assess peer work page,PHASE #1 ALIGN,41:58.7,1209d174-efe1-4842-8308-1597d065628f,42:55.5,56,6,RWER1,SSRL,0,P
38,Compare scores for peers' work,PHASE #1 ALIGN,42:55.5,1209d174-efe1-4842-8308-1597d065628f,43:20.0,24,6,RWER3,SSRL,1,P
39,Click to view Quick Notes in the Assess the Peer work page,PHASE #1 ALIGN,43:20.0,1209d174-efe1-4842-8308-1597d065628f,43:46.4,26,6,RWER7,SSRL,0,P
40,Visit Assess peer work page,PHASE #1 ALIGN,43:46.4,1209d174-efe1-4842-8308-1597d065628f,44:02.4,16,6,RWER1,SSRL,0,P
41,Click to view Quick Notes in the Assess the Peer work page,PHASE #1 ALIGN,44:02.4,1209d174-efe1-4842-8308-1597d065628f,48:56.9,294,6,RWER7,SSRL,0,P
42,Visit Assess own work page,PHASE #1 ALIGN,49:03.2,1209d174-efe1-4842-8308-1597d065628f,49:53.1,49,6,1.1 VISIT_SELF_ASSESS,SSRL,0,S
43,Visit Assess peer work page,PHASE #1 ALIGN,49:54.7,1209d174-efe1-4842-8308-1597d065628f,58:28.5,513,6,RWER1,SSRL,0,P
44,Click to view Quick Notes in the Assess the Peer work page,PHASE #1 ALIGN,58:28.5,1209d174-efe1-4842-8308-1597d065628f,01:12.2,163,6,RWER7,SSRL,0,P
45,Create quick note,PHASE #1 ALIGN,01:54.9,1209d174-efe1-4842-8308-1597d065628f,03:17.9,83,6,RWER6,SSRL,0,P
46,Visit Assess peer work page,PHASE #1 ALIGN,03:17.9,1209d174-efe1-4842-8308-1597d065628f,05:03.7,105,6,RWER1,SSRL,0,P
47,Make peer assessment,PHASE #1 ALIGN,05:03.7,1209d174-efe1-4842-8308-1597d065628f,05:15.2,11,6,RWER2,SSRL,0,P
48,Visit Assess peer work page,PHASE #1 ALIGN,05:15.2,1209d174-efe1-4842-8308-1597d065628f,05:30.7,15,6,RWER1,SSRL,0,P
49,Click to view Quick Notes in the Assess the Peer work page,PHASE #1 ALIGN,05:30.7,1209d174-efe1-4842-8308-1597d065628f,07:22.0,111,6,RWER7,SSRL,0,P
50,Visit Assess peer work page,PHASE #1 ALIGN,07:22.0,1209d174-efe1-4842-8308-1597d065628f,07:38.7,16,6,RWER1,SSRL,0,P
51,Create quick note,PHASE #1 ALIGN,08:10.5,1209d174-efe1-4842-8308-1597d065628f,08:25.5,14,6,RWER6,SSRL,0,P
52,Visit Assess peer work page,PHASE #1 ALIGN,08:25.5,1209d174-efe1-4842-8308-1597d065628f,09:14.4,48,6,RWER1,SSRL,0,P
53,Compare scores for peers' work,PHASE #1 ALIGN,09:14.4,1209d174-efe1-4842-8308-1597d065628f,10:21.6,67,6,RWER3,SSRL,1,P
54,Click to view Quick Notes in the Assess the Peer work page,PHASE #1 ALIGN,10:21.6,1209d174-efe1-4842-8308-1597d065628f,11:52.8,91,6,RWER7,SSRL,0,P
55,Create quick note,PHASE #1 ALIGN,13:44.4,1209d174-efe1-4842-8308-1597d065628f,14:59.3,74,6,RWER6,SSRL,0,P
56,Visit Assess peer work page,PHASE #1 ALIGN,14:59.3,1209d174-efe1-4842-8308-1597d065628f,15:10.0,10,6,RWER1,SSRL,0,P
57,Click to view Quick Notes in the Assess the Peer work page,PHASE #1 ALIGN,15:10.0,1209d174-efe1-4842-8308-1597d065628f,15:18.8,8,6,RWER7,SSRL,0,P
58,Click to view Quick Notes in the Assess the Peer work page,PHASE #1 ALIGN,15:18.8,1209d174-efe1-4842-8308-1597d065628f,15:55.3,36,6,RWER7,SSRL,0,P
59,Visit Assess peer work page,PHASE #1 ALIGN,15:55.3,1209d174-efe1-4842-8308-1597d065628f,16:31.1,35,6,RWER1,SSRL,0,P
60,Click to view Quick Notes in the Assess the Peer work page,PHASE #1 ALIGN,16:31.1,1209d174-efe1-4842-8308-1597d065628f,18:17.9,106,6,RWER7,SSRL,0,P
61,Click to view Quick Notes in the Assess the Peer work page,PHASE #1 ALIGN,18:17.9,1209d174-efe1-4842-8308-1597d065628f,23:43.3,325,6,RWER7,SSRL,0,P
62,Create quick note,PHASE #1 ALIGN,24:29.4,1209d174-efe1-4842-8308-1597d065628f,25:03.5,34,6,RWER6,SSRL,0,P
63,Make peer assessment,PHASE #1 ALIGN,25:03.5,1209d174-efe1-4842-8308-1597d065628f,27:27.7,144,6,RWER2,SSRL,0,P
64,Compare scores for peers' work,PHASE #1 ALIGN,27:27.7,1209d174-efe1-4842-8308-1597d065628f,27:34.1,6,6,RWER3,SSRL,1,P
65,Visit Assess peer work page,PHASE #1 ALIGN,27:34.1,1209d174-efe1-4842-8308-1597d065628f,27:46.6,12,6,RWER1,SSRL,0,P
66,Compare scores for peers' work,PHASE #1 ALIGN,27:46.6,1209d174-efe1-4842-8308-1597d065628f,28:30.4,43,6,RWER3,SSRL,1,P
67,Visit Assess peer work page,PHASE #1 ALIGN,28:30.4,1209d174-efe1-4842-8308-1597d065628f,28:59.6,29,6,RWER1,SSRL,0,P
68,Compare scores for peers' work,PHASE #1 ALIGN,28:59.6,1209d174-efe1-4842-8308-1597d065628f,29:34.6,35,6,RWER3,SSRL,1,P
69,Visit Assess peer work page,PHASE #1 ALIGN,29:34.6,1209d174-efe1-4842-8308-1597d065628f,30:25.0,50,6,RWER1,SSRL,0,P
70,Visit Assess peer work page,PHASE #1 ALIGN,30:25.0,1209d174-efe1-4842-8308-1597d065628f,30:36.1,11,6,RWER1,SSRL,0,P
71,Compare scores for peers' work,PHASE #1 ALIGN,30:36.1,1209d174-efe1-4842-8308-1597d065628f,31:41.9,65,6,RWER3,SSRL,1,P
72,Visit Assess peer work page,PHASE #1 ALIGN,31:41.9,1209d174-efe1-4842-8308-1597d065628f,31:57.1,15,6,RWER1,SSRL,0,P
73,Compare scores for peers' work,PHASE #1 ALIGN,31:57.1,1209d174-efe1-4842-8308-1597d065628f,38:58.0,420,6,RWER3,SSRL,1,P
74,Create quick note,PHASE #1 ALIGN,39:28.9,1209d174-efe1-4842-8308-1597d065628f,41:33.4,124,6,RWER6,SSRL,0,P
75,Create quick note,PHASE #1 ALIGN,42:11.4,1209d174-efe1-4842-8308-1597d065628f,42:22.0,10,6,RWER6,SSRL,0,P
76,Make peer assessment,PHASE #1 ALIGN,42:22.0,1209d174-efe1-4842-8308-1597d065628f,42:53.1,31,6,RWER2,SSRL,0,P
77,Compare scores for peers' work,PHASE #1 ALIGN,42:53.1,1209d174-efe1-4842-8308-1597d065628f,42:59.4,6,6,RWER3,SSRL,1,P
78,Visit Assess peer work page,PHASE #1 ALIGN,43:02.2,1209d174-efe1-4842-8308-1597d065628f,44:56.5,114,6,RWER1,SSRL,0,P
79,Make peer assessment,PHASE #1 ALIGN,44:56.5,1209d174-efe1-4842-8308-1597d065628f,45:37.0,40,6,RWER2,SSRL,0,P
80,Visit Provide feedback page,PHASE #2 DISCUSS,47:52.4,1209d174-efe1-4842-8308-1597d065628f,54:01.1,368,6,RWER8,Co-RL,0,P
81,Visit Provide feedback page,PHASE #2 DISCUSS,54:04.5,1209d174-efe1-4842-8308-1597d065628f,54:10.3,5,6,RWER8,Co-RL,0,P
82,Click to view quick notes on Provide feedback page,PHASE #2 DISCUSS,54:10.3,1209d174-efe1-4842-8308-1597d065628f,56:28.4,138,6,RWER10,SSRL,1,P
83,Visit Provide feedback page,PHASE #2 DISCUSS,56:31.1,1209d174-efe1-4842-8308-1597d065628f,56:53.4,22,6,RWER8,Co-RL,0,P
84,Visit Provide feedback page,PHASE #2 DISCUSS,56:56.7,1209d174-efe1-4842-8308-1597d065628f,01:40.9,284,6,RWER8,Co-RL,0,P
85,Visit Provide feedback page,PHASE #2 DISCUSS,01:40.9,1209d174-efe1-4842-8308-1597d065628f,02:08.1,27,6,RWER8,Co-RL,0,P
86,Visit Provide feedback page,PHASE #2 DISCUSS,02:08.1,1209d174-efe1-4842-8308-1597d065628f,03:18.1,69,6,RWER8,Co-RL,0,P
87,Visit Provide feedback page,PHASE #2 DISCUSS,03:18.1,1209d174-efe1-4842-8308-1597d065628f,05:35.6,137,6,RWER8,Co-RL,0,P
88,Visit Provide feedback page,PHASE #2 DISCUSS,05:38.6,1209d174-efe1-4842-8308-1597d065628f,05:58.2,19,6,RWER8,Co-RL,0,P
89,Visit Provide feedback page,PHASE #2 DISCUSS,05:58.2,1209d174-efe1-4842-8308-1597d065628f,06:11.9,13,6,RWER8,Co-RL,0,P
90,Visit Provide feedback page,PHASE #2 DISCUSS,06:14.5,1209d174-efe1-4842-8308-1597d065628f,06:47.2,32,6,RWER8,Co-RL,0,P
91,Visit Provide feedback page,PHASE #2 DISCUSS,06:53.6,1209d174-efe1-4842-8308-1597d065628f,07:17.4,23,6,RWER8,Co-RL,0,P
92,Click to view quick notes on Provide feedback page,PHASE #2 DISCUSS,07:17.4,1209d174-efe1-4842-8308-1597d065628f,09:16.7,119,6,RWER10,SSRL,1,P
93,Visit Provide feedback page,PHASE #2 DISCUSS,09:16.7,1209d174-efe1-4842-8308-1597d065628f,11:37.2,140,6,RWER8,Co-RL,0,P
94,Visit Provide feedback page,PHASE #2 DISCUSS,12:41.6,1209d174-efe1-4842-8308-1597d065628f,13:14.9,33,6,RWER8,Co-RL,0,P
95,Visit Provide feedback page,PHASE #2 DISCUSS,13:59.4,1209d174-efe1-4842-8308-1597d065628f,14:41.5,42,6,RWER8,Co-RL,0,P
96,Visit Provide feedback page,PHASE #2 DISCUSS,14:54.0,1209d174-efe1-4842-8308-1597d065628f,36:37.7,8503,6,RWER8,Co-RL,0,P
97,Visit Provide feedback page,PHASE #2 DISCUSS,37:02.9,1209d174-efe1-4842-8308-1597d065628f,42:48.8,345,7,RWER8,Co-RL,0,P
98,Visit Provide feedback page,PHASE #2 DISCUSS,42:54.9,1209d174-efe1-4842-8308-1597d065628f,47:49.7,294,7,RWER8,Co-RL,0,P
99,Visit Provide feedback page,PHASE #2 DISCUSS,53:41.2,1209d174-efe1-4842-8308-1597d065628f,01:19.8,458,7,RWER8,Co-RL,0,P
100,Click to view quick notes on Provide feedback page,PHASE #2 DISCUSS,01:19.8,1209d174-efe1-4842-8308-1597d065628f,04:20.8,181,7,RWER10,SSRL,1,P
101,Visit Check the feedback page,PHASE #2 DISCUSS,05:43.9,1209d174-efe1-4842-8308-1597d065628f,05:50.5,6,7,2.1 VISIT_FEEDBACK,SRL,0,S
102,Visit Revise the work page,PHASE #3 ACT,05:56.2,1209d174-efe1-4842-8308-1597d065628f,05:59.0,2,7,3.1 VISIT_REVISION,SRL,0,S
103,Visit Assess peer work page,PHASE #1 ALIGN,06:17.2,1209d174-efe1-4842-8308-1597d065628f,06:42.6,25,7,RWER1,SSRL,0,P
104,Visit Provide feedback page,PHASE #2 DISCUSS,44:46.8,1209d174-efe1-4842-8308-1597d065628f,50:10.7,323,8,RWER8,Co-RL,0,P
105,Click to view quick notes on Provide feedback page,PHASE #2 DISCUSS,50:10.7,1209d174-efe1-4842-8308-1597d065628f,00:31.9,621,8,RWER10,SSRL,1,P
106,Visit Provide feedback page,PHASE #2 DISCUSS,00:31.9,1209d174-efe1-4842-8308-1597d065628f,07:15.1,403,8,RWER8,Co-RL,0,P
107,Post feedback,PHASE #2 DISCUSS,07:15.1,1209d174-efe1-4842-8308-1597d065628f,19:23.8,728,8,RWER9,Co-RL,0,P
108,Post feedback,PHASE #2 DISCUSS,19:23.8,1209d174-efe1-4842-8308-1597d065628f,21:59.5,155,8,RWER9,Co-RL,0,P
109,Post feedback,PHASE #2 DISCUSS,21:59.5,1209d174-efe1-4842-8308-1597d065628f,23:17.8,78,8,RWER9,Co-RL,0,P
110,Post feedback,PHASE #2 DISCUSS,23:17.8,1209d174-efe1-4842-8308-1597d065628f,26:32.2,194,8,RWER9,Co-RL,0,P
111,Post feedback,PHASE #2 DISCUSS,26:32.2,1209d174-efe1-4842-8308-1597d065628f,29:50.2,198,8,RWER9,Co-RL,0,P
112,Post feedback,PHASE #2 DISCUSS,29:50.2,1209d174-efe1-4842-8308-1597d065628f,32:14.8,144,8,RWER9,Co-RL,0,P
113,Visit Provide feedback page,PHASE #2 DISCUSS,32:26.5,1209d174-efe1-4842-8308-1597d065628f,33:40.5,73,8,RWER8,Co-RL,0,P
114,Post feedback,PHASE #2 DISCUSS,33:40.5,1209d174-efe1-4842-8308-1597d065628f,38:46.5,305,8,RWER9,Co-RL,0,P
115,Post feedback,PHASE #2 DISCUSS,38:46.5,1209d174-efe1-4842-8308-1597d065628f,42:39.1,232,8,RWER9,Co-RL,0,P
116,Post feedback,PHASE #2 DISCUSS,42:39.1,1209d174-efe1-4842-8308-1597d065628f,50:06.8,234447,8,RWER9,Co-RL,0,P
117,Post reply to feedback,PHASE #2 DISCUSS,50:06.8,1209d174-efe1-4842-8308-1597d065628f,04:15.8,849,9,2.2 POST_REPLY,Co-RL,0,S
118,Visit Guide peer page,PHASE #3 ACT,04:32.1,1209d174-efe1-4842-8308-1597d065628f,04:35.7,3,9,RWER15,Co-RL,1,P
119,Visit Provide feedback page,PHASE #2 DISCUSS,04:39.2,1209d174-efe1-4842-8308-1597d065628f,04:43.2,4,9,RWER8,Co-RL,0,P
120,Visit Assess peer work page,PHASE #1 ALIGN,04:52.4,1209d174-efe1-4842-8308-1597d065628f,05:14.7,22,9,RWER1,SSRL,0,P
121,Visit Assess peer work page,PHASE #1 ALIGN,05:17.6,1209d174-efe1-4842-8308-1597d065628f,05:20.7,3,9,RWER1,SSRL,0,P
122,Visit Provide feedback page,PHASE #2 DISCUSS,05:32.3,1209d174-efe1-4842-8308-1597d065628f,05:40.0,7,9,RWER8,Co-RL,0,P
123,Visit Provide feedback page,PHASE #2 DISCUSS,06:23.3,1209d174-efe1-4842-8308-1597d065628f,06:26.1,2,9,RWER8,Co-RL,0,P
124,Visit Revise the work page,PHASE #3 ACT,06:59.5,1209d174-efe1-4842-8308-1597d065628f,07:22.3,22,9,3.1 VISIT_REVISION,SRL,0,S
125,Visit Check the feedback page,PHASE #2 DISCUSS,07:29.5,1209d174-efe1-4842-8308-1597d065628f,10:19.3,169,9,2.1 VISIT_FEEDBACK,SRL,0,S
126,Visit Check the feedback page,PHASE #2 DISCUSS,10:23.9,1209d174-efe1-4842-8308-1597d065628f,11:26.5,62,9,2.1 VISIT_FEEDBACK,SRL,0,S
127,Visit Check the feedback page,PHASE #2 DISCUSS,11:29.0,1209d174-efe1-4842-8308-1597d065628f,26:38.7,909,9,2.1 VISIT_FEEDBACK,SRL,0,S
128,Visit Assess peer work page,PHASE #1 ALIGN,26:55.0,1209d174-efe1-4842-8308-1597d065628f,27:08.4,13,10,RWER1,SSRL,0,P
129,Visit Assess own work page,PHASE #1 ALIGN,27:23.8,1209d174-efe1-4842-8308-1597d065628f,27:54.1,30,10,1.1 VISIT_SELF_ASSESS,SSRL,0,S
130,Visit Check the feedback page,PHASE #2 DISCUSS,28:14.1,1209d174-efe1-4842-8308-1597d065628f,33:07.1,293,10,2.1 VISIT_FEEDBACK,SRL,0,S
131,Post reply to feedback,PHASE #2 DISCUSS,33:07.1,1209d174-efe1-4842-8308-1597d065628f,38:13.8,306,10,2.2 POST_REPLY,Co-RL,0,S
132,Visit Check the feedback page,PHASE #2 DISCUSS,38:18.1,1209d174-efe1-4842-8308-1597d065628f,39:06.6,48,10,2.1 VISIT_FEEDBACK,SRL,0,S
133,Post reply to feedback,PHASE #2 DISCUSS,39:06.6,1209d174-efe1-4842-8308-1597d065628f,39:38.6,32,10,2.2 POST_REPLY,Co-RL,0,S
134,Visit Provide feedback page,PHASE #2 DISCUSS,39:50.9,1209d174-efe1-4842-8308-1597d065628f,39:53.2,2,10,RWER8,Co-RL,0,P
135,Visit Check the feedback page,PHASE #2 DISCUSS,38:39.6,1209d174-efe1-4842-8308-1597d065628f,39:11.2,31,12,2.1 VISIT_FEEDBACK,SRL,0,S
136,Visit Guide peer page,PHASE #3 ACT,42:54.6,1209d174-efe1-4842-8308-1597d065628f,43:02.8,8,12,RWER15,Co-RL,1,P
137,Visit Check the feedback page,PHASE #2 DISCUSS,49:05.6,1209d174-efe1-4842-8308-1597d065628f,50:37.8,92,12,2.1 VISIT_FEEDBACK,SRL,0,S
138,Visit Check the feedback page,PHASE #2 DISCUSS,00:54.9,1209d174-efe1-4842-8308-1597d065628f,01:21.9,26,12,2.1 VISIT_FEEDBACK,SRL,0,S
139,Visit Check the feedback page,PHASE #2 DISCUSS,01:21.9,1209d174-efe1-4842-8308-1597d065628f,14:59.8,817,12,2.1 VISIT_FEEDBACK,SRL,0,S
140,Visit Check the feedback page,PHASE #2 DISCUSS,15:14.0,1209d174-efe1-4842-8308-1597d065628f,15:25.0,10,12,2.1 VISIT_FEEDBACK,SRL,0,S
141,Visit Assess own work page,PHASE #1 ALIGN,15:28.4,1209d174-efe1-4842-8308-1597d065628f,15:48.4,20,12,1.1 VISIT_SELF_ASSESS,SSRL,0,S
142,Visit Check the feedback page,PHASE #2 DISCUSS,15:51.0,1209d174-efe1-4842-8308-1597d065628f,15:57.4,6,12,2.1 VISIT_FEEDBACK,SRL,0,S
143,Visit Assess own work page,PHASE #1 ALIGN,16:04.4,1209d174-efe1-4842-8308-1597d065628f,17:55.8,111,12,1.1 VISIT_SELF_ASSESS,SSRL,0,S
144,Visit Assess peer work page,PHASE #1 ALIGN,18:06.5,1209d174-efe1-4842-8308-1597d065628f,20:10.5,124,12,RWER1,SSRL,0,P
145,Make peer assessment,PHASE #1 ALIGN,20:10.5,1209d174-efe1-4842-8308-1597d065628f,20:17.8,7,12,RWER2,SSRL,0,P
146,Make peer assessment,PHASE #1 ALIGN,20:17.8,1209d174-efe1-4842-8308-1597d065628f,20:22.4,4,12,RWER2,SSRL,0,P
147,Make peer assessment,PHASE #1 ALIGN,20:22.4,1209d174-efe1-4842-8308-1597d065628f,21:15.8,53,12,RWER2,SSRL,0,P
148,Compare scores for peers' work,PHASE #1 ALIGN,21:15.8,1209d174-efe1-4842-8308-1597d065628f,26:12.8,297,12,RWER3,SSRL,1,P
149,Visit Assess peer work page,PHASE #1 ALIGN,26:22.3,1209d174-efe1-4842-8308-1597d065628f,26:40.6,18,12,RWER1,SSRL,0,P
150,Visit Assess own work page,PHASE #1 ALIGN,01:32.1,1209d174-efe1-4842-8308-1597d065628f,02:22.2,50,13,1.1 VISIT_SELF_ASSESS,SSRL,0,S
151,Make self-assessment,PHASE #1 ALIGN,02:22.2,1209d174-efe1-4842-8308-1597d065628f,02:27.6,5,13,1.2 MAKE_SELF_ASSESS,SSRL,0,S
152,Compare scores for own work,PHASE #1 ALIGN,02:27.6,1209d174-efe1-4842-8308-1597d065628f,03:02.6,35,13,1.3 COMPARE_SCORES,SSRL,1,S
153,Make self-assessment,PHASE #1 ALIGN,03:02.6,1209d174-efe1-4842-8308-1597d065628f,03:26.5,23,13,1.2 MAKE_SELF_ASSESS,SSRL,0,S
154,Make self-assessment,PHASE #1 ALIGN,03:26.5,1209d174-efe1-4842-8308-1597d065628f,03:41.6,15,13,1.2 MAKE_SELF_ASSESS,SSRL,0,S
155,Compare scores for own work,PHASE #1 ALIGN,03:41.6,1209d174-efe1-4842-8308-1597d065628f,04:17.8,36,13,1.3 COMPARE_SCORES,SSRL,1,S
156,Make self-assessment,PHASE #1 ALIGN,04:17.8,1209d174-efe1-4842-8308-1597d065628f,04:22.1,4,13,1.2 MAKE_SELF_ASSESS,SSRL,0,S
157,Compare scores for own work,PHASE #1 ALIGN,04:22.1,1209d174-efe1-4842-8308-1597d065628f,04:53.5,31,13,1.3 COMPARE_SCORES,SSRL,1,S
158,Make self-assessment,PHASE #1 ALIGN,04:53.5,1209d174-efe1-4842-8308-1597d065628f,04:58.0,4,13,1.2 MAKE_SELF_ASSESS,SSRL,0,S
159,Compare scores for own work,PHASE #1 ALIGN,04:58.0,1209d174-efe1-4842-8308-1597d065628f,05:34.8,36,13,1.3 COMPARE_SCORES,SSRL,1,S
160,View assessment discussion on own work,PHASE #1 ALIGN,05:34.8,1209d174-efe1-4842-8308-1597d065628f,05:47.9,13,13,1.4 VEW_DISCUSSION,SSRL,0,S
161,Visit Check the feedback page,PHASE #2 DISCUSS,06:06.7,1209d174-efe1-4842-8308-1597d065628f,06:25.2,18,13,2.1 VISIT_FEEDBACK,SRL,0,S
162,Visit Assess peer work page,PHASE #1 ALIGN,06:50.2,1209d174-efe1-4842-8308-1597d065628f,07:00.2,9,13,RWER1,SSRL,0,P
163,Compare scores for peers' work,PHASE #1 ALIGN,07:00.2,1209d174-efe1-4842-8308-1597d065628f,07:17.0,16,13,RWER3,SSRL,1,P
164,Compare scores for peers' work,PHASE #1 ALIGN,07:17.0,1209d174-efe1-4842-8308-1597d065628f,07:47.5,30,13,RWER3,SSRL,1,P
165,Compare scores for peers' work,PHASE #1 ALIGN,07:47.5,1209d174-efe1-4842-8308-1597d065628f,07:57.3,9,13,RWER3,SSRL,1,P
166,Compare scores for peers' work,PHASE #1 ALIGN,07:57.3,1209d174-efe1-4842-8308-1597d065628f,08:45.9,48,13,RWER3,SSRL,1,P
167,Visit Provide feedback page,PHASE #2 DISCUSS,08:51.6,1209d174-efe1-4842-8308-1597d065628f,08:53.7,2,13,RWER8,Co-RL,0,P
168,Visit Guide peer page,PHASE #3 ACT,09:44.7,1209d174-efe1-4842-8308-1597d065628f,09:47.7,3,13,RWER15,Co-RL,1,P
169,Visit Check the feedback page,PHASE #2 DISCUSS,10:15.4,1209d174-efe1-4842-8308-1597d065628f,10:27.4,12,13,2.1 VISIT_FEEDBACK,SRL,0,S
